N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"71,600","1,000",-1.38%,100,"4,274,364","5,969,783",53.61,"4,728,607",15.22,17.07,
2,LG에너지솔루션,"432,500","2,500",+0.58%,500,"1,012,050","234,000",4.53,"74,428",66.52,5.75,
3,SK하이닉스,"126,600","4,500",-3.43%,"5,000","921,651","728,002",52.83,"2,047,529",-8.03,3.56,
4,삼성바이오로직스,"711,000","1,000",-0.14%,"2,500","506,047","71,174",10.20,"12,029",54.01,11.42,
5,삼성전자우,"58,000",700,-1.19%,100,"477,274","822,887",72.79,"467,953",12.33,N/A,
6,POSCO홀딩스,"472,000","3,000",-0.63%,"5,000","399,176","84,571",26.48,"216,233",32.23,6.11,
7,현대차,"181,000",600,-0.33%,"5,000","382,872","211,532",32.88,"125,227",4.35,9.36,
8,NAVER,"213,500","3,000",+1.43%,100,"346,742","162,409",47.54,"457,576",41.34,3.29,
9,기아,"84,200",100,+0.12%,"5,000","338,521","402,044",38.63,"265,152",3.70,14.57,
10,LG화학,"472,500",500,-0.11%,"5,000","333,549","70,592",43.09,"104,302",28.39,6.95,
11,삼성SDI,"442,500","3,000",+0.68%,"5,000","304,283","68,765",45.08,"81,138",14.73,12.52,
12,포스코퓨처엠,"336,000","12,000",-3.45%,500,"260,276","77,463",5.65,"729,567",321.84,4.87,
13,셀트리온,"162,200",400,-0.25%,"1,000","237,465","146,403",20.42,"93,346",39.31,13.35,
14,카카오,"50,900",100,+0.20%,100,"226,248","444,496",26.08,"523,557",519.39,13.54,
15,삼성물산,"120,600",100,+0.08%,100,"223,824","185,592",19.34,"41,878",9.84,7.16,
16,현대모비스,"226,000",500,+0.22%,"5,000","211,661","93,655",38.67,"27,872",6.24,6.80,
17,KB금융,"51,400",100,-0.19%,"5,000","207,405","403,511",72.34,"232,498",4.41,9.17,
18,신한지주,"36,700",50,-0.14%,"5,000","189,190","515,504",60.13,"249,386",4.64,9.70,
19,LG전자,"101,800",200,+0.20%,"5,000","166,593","163,648",29.11,"152,762",27.36,6.61,
20,삼성생명,"69,400",100,-0.14%,500,"138,800","200,000",16.82,"30,909",5.55,5.73,
21,SK이노베이션,"136,400",600,+0.44%,"5,000","137,294","100,656",21.37,"86,815",-55.22,8.49,
22,LG,"82,100",300,-0.36%,"5,000","129,144","157,301",36.27,"45,283",12.38,8.48,
23,삼성에스디에스,"164,400",700,+0.43%,500,"127,209","77,378",16.18,"49,272",15.99,14.23,
24,한국전력,"19,230",100,+0.52%,"5,000","123,450","641,964",13.92,"379,658",-0.89,-46.91,
25,SK,"168,600","1,300",+0.78%,200,"123,412","73,198",22.78,"43,658",-15.78,5.13,
26,하나금융지주,"41,650",50,-0.12%,"5,000","121,767","292,357",68.93,"137,898",3.34,10.06,
27,삼성화재,"257,000",500,-0.19%,500,"121,753","47,375",53.44,"17,079",7.13,9.70,
28,KT&G,"90,100","1,100",+1.24%,"5,000","120,574","133,822",42.23,"107,483",16.87,11.00,
29,카카오뱅크,"25,250",150,-0.59%,"5,000","120,401","476,837",15.51,"236,828",35.41,4.68,
30,HD현대중공업,"133,400",400,-0.30%,"5,000","118,423","88,773",7.29,"52,713",-70.43,-6.47,
31,메리츠금융지주,"56,700",700,+1.25%,500,"118,060","208,218",16.85,"93,430",5.24,30.32,
32,HMM,"16,290",490,-2.92%,"5,000","112,245","689,039",9.08,"1,204,099",3.76,64.98,
33,SK텔레콤,"50,800",200,+0.40%,100,"111,167","218,833",41.77,"170,397",9.84,7.97,
34,고려아연,"530,000","12,000",+2.32%,"5,000","110,816","20,909",18.29,"24,545",17.72,9.38,
35,삼성전기,"146,600","1,500",+1.03%,"5,000","109,501","74,694",30.53,"86,412",23.14,13.76,
36,크래프톤,"212,500","5,500",-2.52%,100,"102,771","48,363",32.41,"34,940",23.47,10.29,
37,두산에너빌리티,"15,900",290,+1.86%,"5,000","101,849","640,561",13.30,"1,620,864",-23.77,-11.70,
38,우리금융지주,"12,890",20,+0.16%,"5,000","96,926","751,949",37.65,"319,886",3.24,11.51,
39,포스코인터내셔널,"54,300",600,-1.09%,"5,000","95,526","175,923",6.42,"304,082",12.68,15.79,
40,기업은행,"11,840",40,+0.34%,"5,000","94,415","797,426",14.06,"224,257",3.29,9.85,
41,에코프로머티,"136,500","1,000",-0.73%,500,"93,130","68,227",0.60,"967,687",464.29,6.77,
42,하이브,"212,500","3,500",+1.67%,500,"88,511","41,652",20.67,"92,871",114.80,1.87,
43,KT,"34,100",500,+1.49%,"5,000","87,931","257,861",42.80,"528,380",7.42,7.99,
44,대한항공,"22,600",0,0.00%,"5,000","83,218","368,221",16.30,"173,623",6.19,21.95,
45,HD한국조선해양,"114,700",200,+0.17%,"5,000","81,177","70,773",25.42,"68,383",53.98,-2.22,
46,한화오션,"25,900","1,050",-3.90%,"5,000","79,347","306,359",9.96,"899,929",-8.06,-117.79,
47,S-Oil,"68,900",200,-0.29%,"2,500","77,570","112,583",76.85,"52,190",7.90,27.20,
48,아모레퍼시픽,"129,800","2,600",+2.04%,500,"75,924","58,493",27.19,"48,491",55.66,2.81,
49,TIGER CD금리투자KIS(합성),"53,430",0,0.00%,0,"75,253","140,844",0.02,"77,543",N/A,N/A,
50,삼성중공업,"8,160",20,+0.25%,"1,000","71,808","880,000",19.90,"1,327,918",-35.02,-16.08,
